X1,X2,X3,X4,X5,X6,X7,X8,Label,,,
0.0011623,0.00094324,0.0044085,0.0040574,0.0024526,0.0024589,0.00085369,0.00064196,1,,,
0.069241,0.089987,0.15024,0.12017,0.10684,0.10673,0.021195,0.0072929,1,,,
0.068704,0.089284,0.146,0.12067,0.10617,0.10616,0.022708,0.0071916,1,,,
0.073974,0.09417,0.14483,0.12741,0.11171,0.11197,0.020383,0.0080224,1,,,
0.057341,0.069147,0.10027,0.088354,0.078135,0.078034,0.012315,0.0053294,1,,,
0.10599,0.11921,0.16343,0.16164,0.13714,0.13684,0.01687,0.0089066,1,,,
0.015353,0.016933,0.036063,0.030163,0.024228,0.024208,0.0050821,0.0030159,1,,,
0.0091665,0.0069744,0.018854,0.015523,0.01244,0.012497,0.002056,0.0020729,1,,,
0.037002,0.039511,0.056663,0.055143,0.046287,0.046229,0.0050583,0.0043188,1,,,
0.12595,0.11287,0.15259,0.26306,0.14188,0.142,0.0077655,0.034012,2,,,
0.09678,0.097242,0.15699,0.20961,0.13046,0.13057,0.018139,0.027165,2,,,
0.029842,0.020701,0.066467,0.16634,0.045803,0.045787,0.01085,0.033675,2,,,
0.1198,0.11342,0.15289,0.22888,0.13393,0.13425,0.008565,0.025737,2,,,
0.11276,0.10351,0.15997,0.27577,0.13697,0.13709,0.013326,0.041612,2,,,
0.12177,0.1118,0.154,0.25954,0.14125,0.14101,0.0086545,0.035284,2,,,
0.095824,0.10256,0.15198,0.2128,0.13159,0.13152,0.016262,0.029401,2,,,
0.06854,0.055888,0.10836,0.43933,0.089217,0.089749,0.010043,0.080719,2,,,
0.14816,0.14632,0.23315,0.31688,0.18896,0.18934,0.027102,0.04082,2,,,
0.045946,0.042823,0.081757,0.16601,0.06479,0.064743,0.0098093,0.027799,2,,,
0.15897,0.17137,0.23998,0.35854,0.20419,0.20508,0.022616,0.04997,2,,,
0.12779,0.12315,0.17774,0.21558,0.15663,0.15623,0.012983,0.030475,2,,,
0.10295,0.070843,0.16504,0.2402,0.12414,0.12346,0.016692,0.050925,2,,,
0.15552,0.13345,0.24449,0.41734,0.18448,0.18358,0.020085,0.068012,2,,,
0.17417,0.15139,0.23265,0.38476,0.19769,0.19812,0.014627,0.045151,2,,,
0.047741,0.040969,0.079095,0.14431,0.06545,0.065429,0.0083173,0.024723,2,,,
0.20794,0.20695,0.27064,0.29774,0.24081,0.24075,0.013505,0.022345,2,,,
0.12543,0.11341,0.17564,0.22807,0.14993,0.14965,0.013734,0.032361,2,,,
0.20596,0.21128,0.26704,0.30545,0.23994,0.24102,0.013799,0.022785,2,,,
0.044317,0.043397,0.086038,0.15461,0.066595,0.066185,0.011404,0.02328,2,,,
0.094002,0.061826,0.1368,0.18285,0.10834,0.10883,0.0096294,0.033319,2,,,
0.19303,0.21329,0.31845,0.30012,0.23864,0.24033,0.037229,0.027519,2,,,
0.33203,0.22095,0.39709,0.49971,0.37021,0.3708,0.013806,0.086717,2,,,
0.32475,0.21744,0.41447,0.52735,0.36852,0.36824,0.01905,0.10121,2,,,
0.084114,0.078237,0.12581,0.22212,0.10046,0.10084,0.013069,0.037652,2,,,
0.1388,0.13476,0.18423,0.20212,0.16318,0.16315,0.013302,0.01902,2,,,
0.044,0.034394,0.062895,0.10948,0.050392,0.050339,0.0041654,0.018271,2,,,
0.022838,0.011117,0.036058,0.096436,0.029761,0.029772,0.0033055,0.021339,2,,,
0.041741,0.035934,0.059665,0.10918,0.050093,0.050385,0.00426,0.017448,2,,,
0.12587,0.13686,0.21424,0.19881,0.15865,0.15874,0.029328,0.016454,2,,,
0.10569,0.11118,0.16922,0.18325,0.13955,0.13989,0.017922,0.017498,2,,,
0.16716,0.15042,0.25791,0.25405,0.19703,0.19721,0.01904,0.024279,2,,,
